FrameworkName,D_is,D_fs,D_isfs,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,Unitcell_volume,Density,AV_Volume_fraction,AV_cm^3/g,NAV_Volume_fraction,NAV_cm^3/g,n_pockets
KEFBEE,11.08232,7.03728,11.08232,2442.29,3458.75,0.0,0.0,3393.55,0.706119,0.401435,0.568509,0.0,0.0,0
SENWEP,5.93538,3.31524,5.93538,2377.99,1918.4,0.0,0.0,2807.34,1.23957,0.110525,0.0891642,0.0,0.0,0
RIPNIP,5.40468,4.16072,5.00429,1705.61,1101.48,0.0,0.0,2586.27,1.54847,0.09444,0.0609891,0.0,0.0,0
PEGBAG,4.42914,3.59275,4.41193,963.115,673.211,0.0,0.0,2243.16,1.43063,0.02735,0.0191175,0.0,0.0,0
ZERQOE,4.4965,4.02903,4.49472,621.728,397.181,0.0,0.0,1461.18,1.56535,0.022945,0.014658,0.0,0.0,0
VACFUB01,8.53124,8.3704,8.53124,1189.69,1006.58,0.0,0.0,1304.91,1.18192,0.16919,0.143149,0.0,0.0,0
ITETEH,3.58044,2.59038,3.57962,0.0,0.0,747.475,478.37,707.553,1.56255,0.0,0.0,0.010985,0.00703018,3
PEYPIU,4.73554,3.50341,4.73554,1187.45,840.133,0.0,0.0,1652.35,1.41341,0.047655,0.0337164,0.0,0.0,0
BERFIP,4.07847,2.71437,4.07847,0.0,0.0,478.148,244.748,1041.11,1.95363,0.0,0.0,0.009725,0.00497791,4
HIFTOG,7.95891,4.14066,7.95891,2441.96,2094.63,3.44024,2.95092,4386.48,1.16582,0.14026,0.12031,1.5e-05,1.28665e-05,2
NAZBAT,6.89006,4.61969,6.89006,2218.2,2147.72,0.0,0.0,3493.18,1.03282,0.155145,0.150215,0.0,0.0,0
IBICUT,10.14615,10.01365,10.14615,1171.36,1096.32,0.0,0.0,2872.99,1.06845,0.20148,0.188573,0.0,0.0,0
BIYTEJ,6.55677,6.40414,6.53551,1341.67,968.051,0.0,0.0,2009.55,1.38595,0.11474,0.0827879,0.0,0.0,1
FEFDEB,13.1087,11.60778,13.1087,2197.78,4075.4,0.0,0.0,2227.43,0.53928,0.452375,0.83885,0.0,0.0,0
BUKMUQ,5.78794,5.06217,5.71305,3071.27,3607.26,0.0,0.0,1798.16,0.851411,0.24747,0.290659,0.0,0.0,0
FECWOB,4.21201,3.09318,4.21122,973.931,617.082,0.0,0.0,2134.0,1.57828,0.021615,0.0136953,0.0,0.0,0
YUKBIP01,5.75762,4.94698,5.75762,829.977,538.166,0.0,0.0,1447.02,1.54223,0.051115,0.0331435,0.0,0.0,0
LAWGOG,15.0805,7.93827,15.0805,2232.68,3787.88,0.0,0.0,4337.97,0.589428,0.50176,0.851266,0.0,0.0,0
UWUTIQ,6.1259,4.66623,5.97328,2365.74,2343.71,0.0,0.0,4548.95,1.0094,0.14253,0.141203,0.0,0.0,0
PEGBEK02,4.27091,3.47487,4.26464,988.865,696.544,0.0,0.0,2260.47,1.41967,0.02967,0.0208992,0.0,0.0,0
CUYQIX,3.73047,3.14077,3.73047,757.553,578.445,0.0,0.0,1368.23,1.30964,0.012275,0.00937283,0.0,0.0,0
HEDCEA,4.7556,2.92557,4.72634,829.017,650.08,0.907563,0.711673,4163.64,1.27525,0.02784,0.0218309,0.0,0.0,8
DUBWON,5.41735,4.7264,5.40719,2249.96,1767.59,0.0,0.0,1851.94,1.2729,0.136155,0.106965,0.0,0.0,0
OYODEM,8.98325,5.22908,8.92063,1318.17,1288.24,0.0,0.0,5720.29,1.02323,0.13712,0.134006,0.0,0.0,0
SETQOZ,7.78625,7.21199,7.78625,2049.86,2071.13,0.0,0.0,1583.54,0.989732,0.227445,0.229805,0.0,0.0,0
MUWQEB,15.66484,9.57746,15.5128,1332.14,1842.62,539.557,746.316,6669.62,0.72296,0.348235,0.48168,0.062095,0.08589,1
AZIXUD,5.99991,4.88169,5.99991,2298.27,2080.58,0.0,0.0,3024.67,1.10463,0.16174,0.14642,0.0,0.0,0
NIKYUC02,5.06856,3.78234,5.06856,1328.16,793.862,0.0,0.0,1737.48,1.67303,0.05798,0.0346557,0.0,0.0,0
KAFTUI,5.18489,3.11952,5.15884,867.425,571.214,0.0,0.0,3202.32,1.51856,0.028965,0.0190739,0.0,0.0,0
DAXHIV01,7.67683,6.96811,7.67683,2440.55,2763.82,0.0,0.0,1677.55,0.883035,0.245595,0.278126,0.0,0.0,0
PIXPET,4.77527,3.75921,4.77527,1381.81,1210.74,0.0,0.0,1495.31,1.1413,0.0658,0.0576536,0.0,0.0,0
RATCUL03,4.74713,3.7831,4.74598,1223.58,708.087,0.0,0.0,1682.2,1.72801,0.04869,0.0281769,0.0,0.0,0
