FrameworkName,D_is,D_fs,D_isfs,ASA_m^2/cm^3,ASA_m^2/g,NASA_m^2/cm^3,NASA_m^2/g,Unitcell_volume,Density,AV_Volume_fraction,AV_cm^3/g,NAV_Volume_fraction,NAV_cm^3/g,n_pockets
PIFPIE,7.85828,4.27554,7.85828,1941.43,1853.29,0.0,0.0,2995.38,1.04756,0.175025,0.167079,0.0,0.0,0
MEJQEZ,4.70786,3.58668,4.69647,1402.6,1105.02,0.0,0.0,1682.98,1.26931,0.053885,0.0424523,0.0,0.0,0
LOQLEJ,14.68464,14.39641,14.68464,1674.64,1685.08,0.0,0.0,2966.91,0.993806,0.34039,0.342512,0.0,0.0,0
PAPHEV,4.68234,3.58973,4.68234,1056.51,708.315,0.0,0.0,2629.62,1.49159,0.038645,0.0259086,0.0,0.0,0
NIKZEN,4.82301,3.70751,4.81727,1210.28,694.958,0.0,0.0,1669.15,1.74152,0.048495,0.0278464,0.0,0.0,0
IFEQIV,8.23002,7.90173,8.23002,755.038,570.658,0.0,0.0,1850.86,1.3231,0.09991,0.0755119,0.0,0.0,0
FANWOI,9.82419,8.59361,9.82419,1460.21,1466.43,0.0,0.0,5713.11,0.99576,0.202935,0.203799,0.0,0.0,0
MUVGOA,5.0396,3.54728,5.0396,1786.81,1798.04,0.0,0.0,4210.6,0.993755,0.063745,0.0641456,0.0,0.0,0
SOWYIM,2.02468,1.22645,2.02468,0.0,0.0,0.0,0.0,2088.53,1.14361,0.0,0.0,0.0,0.0,0
CAWVIH,6.48494,4.72476,6.48494,1157.56,934.247,0.0,0.0,4017.38,1.23903,0.074315,0.0599786,0.0,0.0,0
TONQOD,8.4438,5.40934,5.89319,3241.84,4429.51,0.0,0.0,3109.7,0.731873,0.258625,0.353374,0.0,0.0,0
RACZIG,5.83718,5.07634,5.83718,1140.29,740.188,0.0,0.0,1515.74,1.54054,0.073355,0.0476165,0.0,0.0,0
REYNUG,3.09619,2.84518,3.09083,78.3173,41.6184,0.0,0.0,3311.33,1.88179,0.00029,0.000154108,0.0,0.0,0
UBACUX,7.27569,3.40268,7.27569,1710.27,1431.12,0.0,0.0,3563.79,1.19506,0.121835,0.101949,0.0,0.0,0
ISOJOQ,5.96324,4.18126,5.95816,2429.82,2457.38,0.0,0.0,3434.35,0.988783,0.144165,0.1458,0.0,0.0,0
MEFYUT,5.77585,4.33422,5.56398,2280.31,1912.84,0.0,0.0,2446.14,1.19211,0.16525,0.13862,0.0,0.0,0
ZIDDIB,4.55863,2.41066,4.54778,0.0,0.0,444.902,232.733,5037.79,1.91164,0.0,0.0,0.013315,0.00696523,8
HEZKIH,4.70607,3.39261,4.68614,1490.39,1164.59,120.967,94.524,2818.72,1.27975,0.050205,0.0392302,0.00309,0.00241453,1
PAMVEG,4.06328,3.71255,4.05877,672.462,514.343,0.0,0.0,2030.95,1.30742,0.016165,0.012364,0.0,0.0,0
PEVQOY,14.79228,7.88362,14.77092,2252.86,3670.91,0.0,0.0,4166.35,0.613708,0.49443,0.805644,0.0,0.0,0
LABGAY,4.46512,3.23821,4.458,731.553,499.672,0.0,0.0,4048.59,1.46407,0.020875,0.0142582,0.0,0.0,0
CADPII,5.8333,5.0586,5.8333,380.902,186.993,0.0,0.0,1819.08,2.03698,0.024215,0.0118877,0.0,0.0,1
BEPMEQ,10.23749,10.11334,10.23749,1277.92,1261.94,10.553,10.421,2755.23,1.01266,0.21578,0.213082,2.5e-05,2.46874e-05,6
GAXVUY,6.10604,3.07582,5.9657,1983.52,1849.39,0.0,0.0,2685.89,1.07253,0.122255,0.113987,0.0,0.0,0
ZIF-1,6.5027,2.19055,6.5027,0.0,0.0,1221.59,1012.0,2195.87,1.2071,0.0,0.0,0.085445,0.0707852,2
IFEQAN,8.4621,8.16286,8.4621,716.278,531.01,0.0,0.0,1815.47,1.3489,0.100015,0.0741457,0.0,0.0,0
VUSJUP,14.85288,8.72882,14.85288,2156.27,4152.36,0.0,0.0,4193.89,0.519287,0.56823,1.09425,0.0,0.0,0
RAXDAX,3.78,2.80345,3.76584,199.237,138.481,202.122,140.487,1997.89,1.43873,0.003345,0.00232497,0.00337,0.00234234,2
YAZFOW,7.43679,7.30177,7.43679,1878.39,1431.29,0.0,0.0,1492.7,1.31238,0.208465,0.158845,0.0,0.0,0
GUYLUI01,4.78396,3.88146,4.64671,697.601,459.769,4.50975,2.97224,1732.47,1.51729,0.028915,0.019057,1e-05,6.59071e-06,2
RATCUL02,4.70959,3.72749,4.70959,1195.86,687.888,0.0,0.0,1672.09,1.73846,0.04631,0.0266386,0.0,0.0,0
ZIF-7,5.60159,2.39994,5.60159,0.0,0.0,882.684,711.011,2404.85,1.24145,0.0,0.0,0.032215,0.0259495,5
NAQLAT,6.1178,3.53855,6.08116,1469.31,1182.78,0.0,0.0,4644.98,1.24225,0.07315,0.0588851,0.0,0.0,0
HAJMAH,5.95813,3.63496,5.95813,544.998,410.311,0.0,0.0,2072.2,1.32826,0.031525,0.0237341,0.0,0.0,0
SAKRED,5.5169,5.02553,5.5169,2887.37,2797.16,0.0,0.0,2464.19,1.03225,0.188565,0.182673,0.0,0.0,0
QUQPUO,4.10943,3.18244,4.08238,1491.1,1238.12,0.0,0.0,2005.76,1.20432,0.0341,0.0283147,0.0,0.0,0
TACPAP,6.18933,6.06319,6.18525,765.152,448.644,0.0,0.0,2114.74,1.70548,0.06131,0.0359489,0.0,0.0,0
MUVHAN,5.19525,3.68882,5.00213,1808.75,1837.34,0.0,0.0,2125.23,0.984437,0.07014,0.0712489,0.0,0.0,0
DONNAW01,6.92645,6.40923,6.92645,1818.92,1567.41,0.0,0.0,715.001,1.16046,0.1695,0.146062,0.0,0.0,0
GUQTOB,3.95311,3.16468,3.95311,793.726,292.458,0.0,0.0,526.333,2.71399,0.01951,0.00718869,0.0,0.0,0
KAXQOR01,4.98984,3.66075,4.98812,646.796,412.576,0.0,0.0,1458.99,1.5677,0.02717,0.0173311,0.0,0.0,0
ECAHAT,12.33039,11.4865,12.33039,1145.79,1341.24,185.286,216.893,3160.16,0.854274,0.23321,0.272992,0.00545,0.00637968,2
HEBTEP,4.72105,3.05363,4.71798,1635.73,1290.82,0.0,0.0,1465.37,1.2672,0.05026,0.0396622,0.0,0.0,0
ODIXEG,10.36031,7.47097,10.26208,2306.89,4177.85,0.0,0.0,3845.07,0.552173,0.462845,0.838225,0.0,0.0,0
TONBII,4.87761,4.60688,4.87761,768.043,478.389,0.0,0.0,558.563,1.60548,0.03916,0.0243915,0.0,0.0,0
REDROI,5.11492,3.52421,4.97096,1277.87,787.282,0.0,0.0,1815.53,1.62315,0.049535,0.0305179,0.0,0.0,0
CAXVUU,11.30563,10.52948,11.30563,1698.89,1480.94,0.0,0.0,1327.89,1.14718,0.32756,0.285536,0.0,0.0,0
BOWQAG,3.49003,3.13948,3.48099,548.232,374.517,0.0,0.0,1968.16,1.46384,0.00752,0.00513718,0.0,0.0,0
LOLQIM,4.99964,2.73654,4.98296,0.0,0.0,1315.64,731.203,786.183,1.79928,0.0,0.0,0.04796,0.0266552,1
DEBGIA,4.22344,3.46939,4.21901,1385.14,1056.44,0.0,0.0,3015.47,1.31115,0.037165,0.0283454,0.0,0.0,0
WALBOC01,4.21583,2.9953,4.21411,1103.24,649.805,0.0129338,0.00761798,3011.98,1.6978,0.02548,0.0150077,0.0,0.0,1
LAWGIA,15.0745,7.93652,15.0745,2232.54,3780.2,0.0,0.0,4329.45,0.590588,0.501715,0.849517,0.0,0.0,0
LEMNOH,4.05561,3.09524,4.05434,1339.59,1121.77,0.0,0.0,2158.6,1.19418,0.03658,0.0306319,0.0,0.0,0
FIPXEJ,4.43579,3.68809,4.4295,1083.91,798.569,0.0,0.0,1417.24,1.35731,0.030875,0.0227471,0.0,0.0,0
WOWGEU,3.71958,2.46576,3.70911,0.0,0.0,288.202,152.634,488.889,1.88819,0.0,0.0,0.004235,0.00224289,2
PIJJOI,6.12931,4.00789,6.08289,1149.71,1052.86,51.4363,47.1032,5106.42,1.09199,0.06536,0.0598539,0.00062,0.000567769,12
EXEWAG,7.6405,5.6975,7.15286,1823.97,1708.99,0.0,0.0,2612.45,1.06728,0.175785,0.164704,0.0,0.0,0
FAFJIH,3.61922,2.55624,3.29431,0.0,0.0,282.078,191.964,2442.23,1.46943,0.0,0.0,0.003675,0.00250097,4
TESGOO,4.76391,3.62987,4.72184,1138.89,592.784,0.0,0.0,1611.99,1.92126,0.042255,0.0219934,0.0,0.0,0
OBUFIB,4.69705,3.94966,4.45735,1269.59,811.194,0.0,0.0,2011.85,1.56509,0.047765,0.030519,0.0,0.0,0
HUTTIA,4.93965,2.94896,4.93965,1095.19,848.882,0.0,0.0,5773.81,1.29015,0.04014,0.0311126,0.0,0.0,0
MUVGUG,5.3049,3.8372,5.30439,1787.62,1823.63,0.0,0.0,2134.3,0.980252,0.07374,0.0752255,0.0,0.0,0
TIGDOD,6.0917,4.63684,6.05909,2078.86,2208.94,0.0,0.0,2552.6,0.941113,0.139655,0.148393,0.0,0.0,0
HOWPUF,7.93406,5.48339,7.91016,2216.07,2280.58,0.0,0.0,3630.23,0.971712,0.243405,0.250491,0.0,0.0,0
NEHZIK,7.34019,4.77821,7.34019,1465.6,1219.83,0.0,0.0,3755.11,1.20148,0.125425,0.104392,0.0,0.0,0
ZIF-5,3.87741,2.16527,3.86853,0.0,0.0,441.465,286.042,5296.39,1.54336,0.0,0.0,0.00996,0.00645346,20
ZIF-6,9.51839,5.74397,9.10127,2352.12,3079.24,0.0,0.0,6940.09,0.763865,0.312715,0.409385,0.0,0.0,0
LUPTAS,4.93044,3.81292,4.9089,1156.02,808.624,0.0,0.0,2876.65,1.42961,0.044075,0.03083,0.0,0.0,0
WEBREC,5.39661,3.78553,5.39661,1264.15,1034.39,0.0,0.0,2672.88,1.22212,0.06136,0.050208,0.0,0.0,0
VACFOV,7.04016,6.80377,7.04016,2684.15,2884.42,0.0,0.0,2371.78,0.930569,0.22591,0.242765,0.0,0.0,0
FAQVEA,4.28187,3.21093,4.24486,887.865,605.614,0.0,0.0,1225.84,1.46606,0.018615,0.0126973,0.0,0.0,0
AFOQUI,4.25157,3.00568,4.24901,845.47,521.603,0.0,0.0,2076.4,1.62091,0.019075,0.0117681,0.0,0.0,0
NOCKUM,6.00758,5.1022,6.00758,1736.19,1617.68,0.0,0.0,1895.57,1.07326,0.114745,0.106913,0.0,0.0,0
FIQYOU,4.72303,3.65899,4.72303,1186.26,677.817,0.0,0.0,1660.95,1.75011,0.044505,0.0254298,0.0,0.0,0
HAFQUC,6.71368,5.31482,6.71368,2209.76,2396.3,0.0,0.0,1498.95,0.922153,0.157405,0.170693,0.0,0.0,0
IJANAJ,4.15369,3.00882,4.14402,890.942,629.301,0.0,0.0,1082.32,1.41576,0.019975,0.014109,0.0,0.0,2
QARCET,5.6311,3.58556,5.50351,976.901,682.664,2.84524,1.98827,3019.68,1.43101,0.054665,0.0382002,5e-06,3.49403e-06,2
MATVIN,3.96403,2.68633,3.96403,0.0,0.0,532.222,327.964,1054.11,1.62281,0.0,0.0,0.013955,0.0085993,6
OSAVEK,5.46185,5.06196,5.40742,1845.89,1861.74,0.0,0.0,1367.94,0.991485,0.116725,0.117727,0.0,0.0,0
ATOWIQ,9.54888,7.69493,9.54568,2037.0,2350.17,0.0,0.0,2134.77,0.866746,0.283005,0.326514,0.0,0.0,0
ZARZAV,5.22384,3.95101,5.21614,1169.19,883.036,0.0,0.0,2436.57,1.32405,0.059405,0.044866,0.0,0.0,0
QADBII,4.90485,4.23271,4.90165,870.391,610.432,0.0,0.0,2421.41,1.42586,0.035115,0.0246272,0.0,0.0,0
TUDJOS,11.48833,3.97125,11.48833,1844.69,2023.59,44.8488,49.1985,4974.81,0.911589,0.2108,0.231245,0.00033,0.000362005,6
EDADIX,4.63332,3.88728,4.61559,1710.39,1375.35,0.0,0.0,1642.9,1.24361,0.0573,0.0460757,0.0,0.0,0
MATTOR,5.58364,3.90943,5.58364,1623.41,1309.12,0.0,0.0,1647.59,1.24007,0.062695,0.0505576,0.0,0.0,0
ANUGUM,8.23346,6.98845,8.23346,2549.89,3747.86,0.0,0.0,3183.59,0.68036,0.361,0.530602,0.0,0.0,0
BEPPOD,10.03622,9.89092,10.03622,1465.0,1524.88,0.0,0.0,2816.98,0.960732,0.213915,0.222658,0.0,0.0,0
ABUWOJ,5.07969,4.03039,4.98773,2287.89,1975.17,0.0,0.0,4518.16,1.15833,0.10016,0.0864696,0.0,0.0,0
OGAGIN,5.17696,3.68155,4.98187,1106.28,761.08,0.0,0.0,2234.54,1.45357,0.048345,0.0332595,0.0,0.0,0
UVARUF,4.72699,3.36186,4.72699,829.776,664.408,0.0,0.0,1366.49,1.24889,0.024745,0.0198135,0.0,0.0,0
XUVHEB,6.21978,5.41115,6.21978,1689.99,1568.82,0.0,0.0,6616.02,1.07724,0.131185,0.121779,0.0,0.0,0
DEYVUA,5.3557,4.43475,5.33937,2948.92,3068.11,0.0,0.0,4237.48,0.961151,0.16072,0.167216,0.0,0.0,0
DAXHUH,7.50015,6.78537,7.34465,2483.5,2833.33,0.0,0.0,1690.0,0.876532,0.24579,0.280412,0.0,0.0,0
XAMHEA,9.0593,7.3957,8.92663,2618.97,3579.77,0.0,0.0,5076.5,0.731602,0.286545,0.391668,0.0,0.0,0
VACFOV01,6.9686,6.75464,6.9686,2693.05,2773.95,0.0,0.0,2273.41,0.970836,0.21382,0.220243,0.0,0.0,0
LAWGUM,15.09972,7.93483,15.09972,2233.43,3793.12,0.0,0.0,4342.52,0.58881,0.501575,0.851845,0.0,0.0,0
MIL-88C-dry,3.7994,3.19856,3.79758,414.21,288.256,12.0947,8.41696,2020.12,1.43695,0.00747,0.00519851,5e-05,3.47959e-05,4
MUZHUL,4.32673,3.84006,4.30197,2250.75,1884.26,0.0,0.0,877.208,1.1945,0.09268,0.0775888,0.0,0.0,0
IFENOY01,7.2447,5.77835,7.2447,684.16,513.978,0.0,0.0,1839.73,1.33111,0.05532,0.0415593,0.0,0.0,0
MAGBAZ,7.74379,4.25931,7.73545,2526.68,2633.06,0.0,0.0,2128.24,0.9596,0.210745,0.219618,0.0,0.0,0
ECIWUJ,3.25413,2.62453,3.25413,0.0,0.0,229.961,154.097,684.551,1.49231,0.0,0.0,0.001265,0.000847678,3
SAKRAZ,5.58245,5.12904,5.58245,2836.54,2735.99,0.0,0.0,2453.5,1.03675,0.190945,0.184176,0.0,0.0,0
WALCET,4.22225,3.07523,4.21512,1158.67,684.693,0.0,0.0,3021.87,1.69225,0.02797,0.0165283,0.0,0.0,0
AFITIT,7.3533,5.37116,7.3533,1673.22,1645.52,11.7557,11.5611,4269.85,1.01683,0.13193,0.129746,0.000135,0.000132765,1
NURMUJ,4.39424,3.64857,4.38802,2636.74,2195.95,0.0,0.0,1688.31,1.20073,0.07938,0.0661099,0.0,0.0,0
HEBZEV,7.75474,3.70807,7.48522,1640.13,1122.73,0.0,0.0,5154.99,1.46085,0.11403,0.0780574,0.0,0.0,0
UVASAM,4.75617,3.15385,4.75617,853.706,696.955,0.0,0.0,1393.24,1.22491,0.025385,0.020724,0.0,0.0,0
WAYMOA,7.06782,6.88356,7.06782,1907.8,1997.75,0.0,0.0,723.721,0.954971,0.18838,0.197262,0.0,0.0,0
FUFREE,3.74304,3.09275,3.73558,578.748,383.54,0.0,0.0,1263.37,1.50896,0.00983,0.00651441,0.0,0.0,0
ZIF-3,8.47376,5.69377,8.47376,2423.75,2754.23,0.0,0.0,6024.13,0.880009,0.21329,0.242373,0.0,0.0,0
KOMGUP,4.68805,3.52352,4.66923,1490.81,933.907,0.0,0.0,1485.19,1.59631,0.046545,0.0291579,0.0,0.0,0
FECKAA,5.55107,3.97584,5.38531,1608.92,1645.72,149.318,152.733,4233.05,0.97764,0.06463,0.0661082,0.00464,0.00474612,8
HIWXER,3.22971,2.67895,3.21272,0.0,0.0,188.821,74.0617,905.522,2.54951,0.0,0.0,0.001115,0.000437339,6
YEGKOM,5.20851,4.05507,5.20188,2557.71,2268.43,0.0,0.0,1363.97,1.12752,0.120785,0.107124,0.0,0.0,0
OSAWEL,5.275,4.57502,5.21033,1625.97,1348.44,0.0,0.0,650.528,1.20581,0.09029,0.0748792,0.0,0.0,0
PEGBEK01,4.25489,3.43767,4.2496,962.415,673.813,0.0,0.0,2246.8,1.42831,0.02836,0.0198556,0.0,0.0,0
FEHCOM,7.38822,6.74911,7.38822,1956.93,2050.78,0.0,0.0,3892.61,0.954238,0.194755,0.204095,0.0,0.0,0
VAZTOG,15.10603,7.93969,15.10603,2251.87,3817.36,0.0,0.0,4334.49,0.589901,0.49724,0.842921,0.0,0.0,0
FUNCAT,9.48773,8.77545,9.48773,1671.02,1796.42,0.0,0.0,3290.12,0.930198,0.234465,0.252059,0.0,0.0,0
LEGGIO,5.18429,3.8135,5.17203,2198.17,1875.63,0.0,0.0,4885.59,1.17196,0.113155,0.0965519,0.0,0.0,0
YILJAG,9.10869,5.99614,8.54669,2537.5,3221.37,0.0,0.0,3449.39,0.787709,0.29957,0.380305,0.0,0.0,0
HAMJOW,5.97637,5.66826,5.96867,2619.52,2859.4,0.0,0.0,2534.87,0.916107,0.17877,0.195141,0.0,0.0,0
VIZRIH,5.68106,4.30035,5.67077,620.38,389.054,4.36413,2.73684,5008.58,1.59459,0.034085,0.0213754,1e-05,6.27122e-06,4
PUSDIR,6.98341,5.26958,6.98341,1501.98,1336.17,18.9522,16.8599,4865.46,1.1241,0.11976,0.106539,0.000185,0.000164576,2
JIVFUQ,6.23742,5.26651,6.20112,2145.5,1872.92,0.0,0.0,966.699,1.14554,0.163265,0.142522,0.0,0.0,0
UBUMAH,7.09336,6.41082,6.96082,2702.48,3194.68,0.0,0.0,7004.14,0.845931,0.29393,0.347463,0.0,0.0,0
GEHSAN,4.21897,2.65292,4.13931,0.0,0.0,590.641,395.672,1041.94,1.49275,0.0,0.0,0.013545,0.00907383,2
UTEXAT,6.27145,4.0077,6.27145,2077.48,2040.93,0.0,0.0,4846.52,1.01791,0.130475,0.128179,0.0,0.0,0
GEDLIM,7.1997,3.30533,7.1962,1286.77,1131.88,0.0,0.0,2744.74,1.13684,0.08781,0.0772406,0.0,0.0,0
UXUZAP,4.84101,3.60752,4.81391,1500.06,1208.58,0.0,0.0,1721.12,1.24118,0.06216,0.0500813,0.0,0.0,0
DEPXAY,5.29628,3.94728,5.28006,2848.01,2661.51,0.0,0.0,5722.87,1.07008,0.127715,0.119351,0.0,0.0,0
RELLAW,7.25508,5.59885,7.25181,2345.2,2617.37,0.0,0.0,5495.68,0.896016,0.199615,0.222781,0.0,0.0,0
TEVZEA,4.59329,3.52297,4.53885,1051.09,533.428,0.0,0.0,1571.76,1.97043,0.03462,0.0175697,0.0,0.0,0
KAXQOR,4.50512,4.04434,4.50385,628.768,404.709,0.0,0.0,1472.21,1.55363,0.02215,0.0142569,0.0,0.0,0
COF-1,4.20219,3.07491,4.18658,1606.28,1767.05,0.0,0.0,1421.76,0.909019,0.035055,0.0385635,0.0,0.0,0
DEBNUU,3.22117,2.60916,3.14393,0.0,0.0,209.711,120.71,808.515,1.73731,0.0,0.0,0.001765,0.00101594,4
HIWLOO,4.60619,2.63453,4.4426,0.0,0.0,729.792,367.28,1251.58,1.98702,0.0,0.0,0.022575,0.0113613,1
EBIHII,6.77782,5.19916,6.76838,2105.7,1860.58,0.0,0.0,2989.25,1.13174,0.18433,0.162873,0.0,0.0,0
MIMVEJ,4.71676,4.28533,4.60921,1291.05,990.03,0.0,0.0,1576.92,1.30405,0.053,0.0406425,0.0,0.0,0
YEZFIU,7.76134,3.87237,7.76134,1966.63,1697.18,0.0,0.0,2352.24,1.15876,0.15441,0.133254,0.0,0.0,0
SARBOE,5.04967,3.82572,5.04967,1526.79,1269.47,0.0,0.0,1875.67,1.20269,0.066825,0.0555629,0.0,0.0,0
BARZUR,5.4946,5.30289,5.4946,2493.75,2693.67,0.0,0.0,2657.42,0.925783,0.120065,0.12969,0.0,0.0,0
HIFVOI,9.00136,6.57223,9.00136,2451.97,2870.12,0.0,0.0,6205.35,0.85431,0.235465,0.27562,0.0,0.0,0
ILOJEZ,4.06811,3.10596,4.05147,669.296,481.992,0.0,0.0,2424.27,1.3886,0.01486,0.0107014,0.0,0.0,0
VEHKAW,5.91326,2.66486,5.90329,0.0,0.0,1409.95,1238.11,1858.27,1.1388,0.0,0.0,0.086875,0.0762867,2
VUSKAW,14.98828,7.97019,14.98828,2213.16,3721.64,0.0,0.0,4299.69,0.594675,0.50124,0.84288,0.0,0.0,0
VICDOC,4.65058,4.08181,4.52458,1511.88,1319.31,0.0,0.0,2134.03,1.14596,0.056335,0.0491596,0.0,0.0,0
RATCUL01,4.69215,3.6752,4.68916,1184.5,679.087,0.0,0.0,1666.53,1.74426,0.045135,0.0258763,0.0,0.0,0
PURJIW,8.03037,6.16762,8.02661,2075.36,2320.34,0.0,0.0,5520.09,0.894418,0.224665,0.251186,0.0,0.0,0
DORDUK,4.54334,4.12792,4.50084,1129.03,962.74,0.0,0.0,2486.71,1.17273,0.043095,0.0367476,0.0,0.0,0
OVICUS,5.88829,5.24435,5.88829,1006.44,658.438,0.0,0.0,1615.25,1.52853,0.071135,0.0465381,0.0,0.0,0
GINLIA,6.39385,4.60431,6.39349,2594.46,2957.88,0.0,0.0,3276.26,0.877136,0.17477,0.199251,0.0,0.0,0
CUYHIO,3.56239,3.1474,3.55286,518.183,394.576,0.0,0.0,2224.32,1.31327,0.0072,0.00548252,0.0,0.0,0
FASQUN,5.13227,3.03904,5.02083,870.583,571.166,0.0,0.0,3190.44,1.52422,0.028675,0.0188129,0.0,0.0,0
ICALOP,7.48996,6.00068,7.45144,2622.35,3292.35,0.0,0.0,3794.84,0.796498,0.317665,0.398827,0.0,0.0,0
RUFMUA01,4.11681,2.9225,4.05539,867.948,573.975,0.0,0.0,545.111,1.51217,0.01977,0.0130739,0.0,0.0,0
NUCREJ,4.13308,3.35735,4.13308,610.772,373.228,0.0,0.0,2205.68,1.63646,0.01358,0.0082984,0.0,0.0,0
HIMSAY,5.16871,3.64786,5.09887,1775.32,1801.13,0.0,0.0,2122.57,0.985668,0.069015,0.0700185,0.0,0.0,0
XEDPIH,4.84924,3.94171,4.80226,1052.41,588.908,0.491832,0.27522,1965.46,1.78705,0.048635,0.0272152,0.0,0.0,5
BEPMAM,10.35764,10.23297,10.35764,1513.41,1692.87,52.4552,58.6756,2725.87,0.893987,0.24409,0.273035,0.00018,0.000201345,6
LUVTEC,10.454,10.05074,10.454,1241.71,1150.08,72.2884,66.954,4729.03,1.07967,0.21488,0.199023,0.000675,0.00062519,4
BEPNIV,10.32219,10.19883,10.32219,1490.75,1668.65,10.2336,11.4549,2716.47,0.893387,0.246595,0.276023,2e-05,2.23867e-05,20
HIHJUF,5.86901,4.91033,5.86855,960.127,650.641,117.325,79.5064,3112.83,1.47566,0.05854,0.0396703,0.002625,0.00177886,10
HELDEJ,5.22361,3.40377,5.03124,891.627,640.227,0.0,0.0,1658.75,1.39267,0.034935,0.0250849,0.0,0.0,0
PENZUE,3.89114,3.09221,3.89114,615.917,376.423,0.0,0.0,1985.08,1.63624,0.009195,0.00561961,0.0,0.0,0
XADCOW,14.13866,13.85709,14.13807,1691.38,1946.24,0.0,0.0,2705.17,0.869049,0.325255,0.374265,0.0,0.0,0
LOWQIX,8.78853,7.51009,8.78712,2295.0,2562.75,0.0,0.0,4369.35,0.895525,0.36082,0.402914,0.0,0.0,0
OSAXAI,4.39348,3.533,4.39348,858.334,657.052,0.0,0.0,2490.44,1.30634,0.03179,0.0243352,0.0,0.0,0
XUWVEQ,3.87598,2.7861,3.60167,0.0,0.0,576.791,248.939,515.157,2.31699,0.0,0.0,0.009455,0.00408072,2
MIL-88A-open,7.38925,5.27937,7.38271,2914.83,3228.04,0.0,0.0,2110.03,0.902972,0.26349,0.291803,0.0,0.0,0
VONBIK,4.80212,3.01348,4.80212,916.157,719.82,0.0,0.0,5154.14,1.27276,0.032305,0.0253819,0.0,0.0,0
XOHLEM,5.52611,4.54089,5.51535,2609.62,1948.93,0.0,0.0,1715.83,1.339,0.133855,0.0999663,0.0,0.0,0
NAKLIW,5.07535,4.01579,4.60929,2282.31,1969.09,0.0,0.0,4515.27,1.15907,0.101015,0.0871519,0.0,0.0,0
KAMZUV,11.31874,3.75162,11.31874,1745.23,1932.43,12.034,13.3248,2503.3,0.903126,0.2026,0.224332,7e-05,7.75085e-05,3
OHOLIH,5.71234,5.23759,5.71234,1758.2,1384.58,0.0,0.0,1462.33,1.26984,0.1105,0.0870189,0.0,0.0,0
GUXLIU,3.7664,2.40014,3.56743,0.0,0.0,294.995,155.702,487.23,1.89462,0.0,0.0,0.004845,0.00255725,2
PEVQAK,14.88407,7.88772,14.88407,2218.8,3683.12,0.0,0.0,4211.06,0.602423,0.506205,0.840282,0.0,0.0,0
ZIF-90,11.02364,3.49366,11.02364,1810.73,1832.04,0.0,0.0,5152.17,0.98837,0.22949,0.23219,0.0,0.0,0
NOQLOV,3.28229,2.60834,3.23871,0.0,0.0,240.489,120.303,1069.62,1.99902,0.0,0.0,0.001705,0.000852917,4
BARZAW,7.73839,2.55686,7.73839,0.0,0.0,626.212,422.774,4825.13,1.4812,0.0,0.0,0.046645,0.0314914,2
FECWOB01,4.17085,3.04516,4.16561,1007.07,638.052,0.0,0.0,1066.96,1.57835,0.024055,0.0152406,0.0,0.0,0
VICYUD,5.57985,4.2436,5.56531,1909.73,1657.85,0.0,0.0,3927.96,1.15194,0.1049,0.0910641,0.0,0.0,0
CAXVOO,11.61534,10.81876,11.61534,1682.97,1501.65,0.0,0.0,1359.2,1.12075,0.33596,0.299764,0.0,0.0,0
PEVQEO,14.84488,7.95313,14.77766,2214.91,3625.91,0.0,0.0,4185.81,0.610855,0.50303,0.823485,0.0,0.0,0
QUQFIS,7.94677,5.42884,7.94677,2714.54,3147.46,0.0,0.0,5857.6,0.862455,0.26792,0.310648,0.0,0.0,0
GACQAE,8.56972,8.26373,8.56972,2237.49,2559.01,0.0,0.0,3761.0,0.874357,0.285585,0.326623,0.0,0.0,0
TEDLUK,5.52889,4.6318,5.52889,722.613,544.857,140.546,105.973,2097.07,1.32625,0.045045,0.0339643,0.003155,0.0023789,2
RUMWUS,6.18521,4.39726,6.09912,1676.98,1517.6,0.0,0.0,2234.01,1.10502,0.110775,0.100247,0.0,0.0,0
XOVVOU,6.57595,5.59779,6.54684,2652.97,2473.24,0.0,0.0,2300.11,1.07267,0.174285,0.162477,0.0,0.0,0
AXOCEW,7.55963,5.38978,7.42723,1743.25,1551.29,0.0,0.0,2693.08,1.12374,0.153165,0.136299,0.0,0.0,0
ZnMOF-74,11.92244,11.08667,11.92244,1719.28,1458.76,0.0,0.0,1373.18,1.17859,0.356995,0.302899,0.0,0.0,0
EDUSIF,15.05124,7.91583,15.05124,2221.66,3744.34,0.0,0.0,4309.39,0.593338,0.501715,0.845581,0.0,0.0,0
XENMOU,4.29825,3.44611,4.26819,1048.12,654.681,0.0,0.0,1219.33,1.60097,0.03749,0.0234171,0.0,0.0,0
RATDAS02,4.66068,3.63147,4.66068,1144.2,596.393,0.0,0.0,1614.28,1.91854,0.04198,0.0218812,0.0,0.0,0
GIHBII,4.5778,2.7831,4.5778,0.0,0.0,1021.16,404.628,1342.48,2.52371,0.0,0.0,0.03117,0.0123509,2
NIKZEN01,4.86464,3.71164,4.85271,1229.69,712.44,0.0,0.0,1684.13,1.72603,0.050105,0.029029,0.0,0.0,0
KINKAV,4.49986,3.74388,4.49755,697.504,576.371,0.0,0.0,1987.18,1.21016,0.025295,0.0209021,0.0,0.0,0
